size, time
10, 0.00031499
10, 0.000349076
10, 0.000347181
10, 0.000325755
10, 0.000283332
10, 0.000277928
10, 0.000280301
10, 0.000318731
10, 0.000308314
10, 0.000316302
10, 0.000342609
100, 0.00303375
200, 0.00883905
10, 0.000328391
100, 0.00336837
200, 0.00874511
10, 0.000323614
100, 0.00350967
200, 0.0104016
10, 0.000353692
100, 0.00364023
200, 0.010475
10, 0.000385766
100, 0.00371204
200, 0.00848524
10, 0.000282986
100, 0.00320116
200, 0.00854413
10, 0.000550292
100, 0.0034654
200, 0.00884951
10, 0.000315005
100, 0.00374005
200, 0.0104867
10, 0.000379576
100, 0.00370203
200, 0.00986938
10, 0.000352197
100, 0.00364616
200, 0.00908366
10, 0.000314991
100, 0.00311824
200, 0.00874348
10, 0.00035144
100, 0.00332115
200, 0.0119652
10, 0.000456555
100, 0.00392402
200, 0.0105834
10, 0.000342012
100, 0.00388151
200, 0.00936188
10, 0.000344767
100, 0.00350203
200, 0.00942271
10, 0.000346512
100, 0.00369424
200, 0.00852605
10, 0.00035955
100, 0.00342367
200, 0.0108713
10, 0.000369081
100, 0.00294598
200, 0.00910707
10, 0.000295786
100, 0.00345151
200, 0.00939087
10, 0.000285632
100, 0.00391044
200, 0.0103631
10, 0.00033099
100, 0.00360086
200, 0.00785507
400, 0.0637328
600, 0.24998
800, 0.65694
1000, 1.462
2000, 14.5961
3000, 55.6685
4000, 137.599
10, 0.0233034
100, 0.058627
200, 0.0863249
400, 0.209266
600, 0.484834
800, 0.922385
1000, 1.47853
2000, 14.3149
3000, 56.0048
4000, 139.601
10, 0.0238605
100, 0.0627219
200, 0.0912646
400, 0.210758
600, 0.491282
800, 0.922742
1000, 1.35413
2000, 14.4565
3000, 55.7721
4000, 137.667
10, 0.0355432
100, 0.0364152
200, 0.0690143
400, 0.288987
600, 0.586534
800, 0.84817
1000, 1.40358
2000, 14.4664
3000, 55.0239
4000, 139.115
10, 0.0270414
100, 0.0402526
200, 0.089232
400, 0.234523
600, 0.532908
800, 0.935953
1000, 1.42363
2000, 14.4615
3000, 55.8841
4000, 137.754
10, 0.0273855
100, 0.0282015
200, 0.125366
400, 0.224378
600, 0.604228
800, 0.762583
1000, 1.47902
2000, 14.5589
3000, 56.6155
4000, 139.681
10, 0.0351258
100, 0.0343965
200, 0.061684
400, 0.267282
600, 0.562694
800, 0.89675
1000, 1.45949
2000, 14.6051
3000, 56.219
4000, 141.156
10, 0.0151864
100, 0.0486242
200, 0.106487
400, 0.254069
600, 0.585279
800, 0.89874
1000, 1.4394
2000, 14.7701
3000, 55.9421
4000, 138.629
10, 0.0244587
100, 0.0360859
200, 0.081595
400, 0.214898
600, 0.541485
800, 0.935549
1000, 1.4517
2000, 14.5889
3000, 55.9345
4000, 140.385
10, 0.0193257
100, 0.0547713
200, 0.0898823
400, 0.242716
600, 0.445358
800, 0.880154
1000, 1.4325
2000, 14.6838
3000, 56.1993
4000, 139.583
