size, time
500, 0.5125
1000, 4.13284
1500, 13.7287
2000, 32.4943
500, 0.511064
1000, 4.07881
1500, 13.7143
2000, 32.5274
500, 0.512188
1000, 4.0698
1500, 13.7343
2000, 32.5894
500, 0.509078
1000, 4.06801
1500, 13.6868
2000, 32.5412
500, 0.51055
1000, 4.07339
1500, 13.7115
2000, 32.4393
500, 0.510196
1000, 4.06652
1500, 13.712
2000, 32.4975
500, 0.519905
1000, 4.07181
1500, 13.6903
2000, 32.4609
500, 0.509525
1000, 4.09894
1500, 13.7136
2000, 32.4394
500, 0.509327
1000, 4.08162
1500, 13.7424
2000, 32.4726
500, 0.509314
1000, 4.07722
1500, 13.6749
2000, 32.5355
