size, time
500, 0.57142
1000, 5.39551
1500, 23.9666
2000, 57.5763
500, 0.577842
1000, 4.92791
1500, 23.4928
2000, 57.0339
500, 0.569336
1000, 4.91182
1500, 23.3225
2000, 56.5827
500, 0.576417
1000, 4.87362
1500, 23.5184
2000, 56.1217
500, 0.568774
1000, 4.92232
1500, 23.2552
2000, 56.6803
500, 0.566597
1000, 4.90697
1500, 23.7338
2000, 56.6425
500, 0.568748
1000, 4.84377
1500, 23.5985
2000, 56.5808
500, 0.571944
1000, 4.89591
1500, 23.3908
2000, 56.4541
500, 0.567485
1000, 4.98304
1500, 23.1939
2000, 56.7376
500, 0.570437
1000, 4.86147
1500, 23.5325
2000, 56.2741
