size, time
10, 0.000297353
100, 0.00516628
200, 0.0262895
400, 0.185969
600, 0.577713
800, 1.41587
1000, 3.11744
2000, 27.5519
3000, 96.8414
4000, 239.308
10, 0.0119345
100, 0.015652
200, 0.0373556
400, 0.216673
600, 0.647417
800, 1.4219
1000, 3.11114
2000, 27.6419
3000, 96.4813
4000, 239.463
10, 0.00132972
100, 0.0148525
200, 0.0325743
400, 0.197266
600, 0.645807
800, 1.40013
1000, 3.05107
2000, 27.5875
3000, 96.5087
4000, 238.764
10, 0.000254644
100, 0.0289125
200, 0.0564467
400, 0.214449
600, 0.602467
800, 1.41419
1000, 3.11548
2000, 27.635
3000, 96.3908
4000, 239.76
10, 0.00809723
100, 0.022216
200, 0.0406518
400, 0.196237
600, 0.677723
800, 1.44667
1000, 3.1388
2000, 27.7394
3000, 96.6723
4000, 238.53
10, 0.000282364
100, 0.0214718
200, 0.0573901
400, 0.23055
600, 0.632172
800, 1.45753
1000, 3.11392
2000, 27.7467
3000, 96.278
4000, 238.705
10, 0.00325245
100, 0.0345133
200, 0.0536927
400, 0.214225
600, 0.590521
800, 1.41335
1000, 3.07241
2000, 27.6182
3000, 95.7776
4000, 238.654
10, 0.00249525
100, 0.0140052
200, 0.0570374
400, 0.201863
600, 0.638332
800, 1.41102
1000, 3.07237
2000, 27.519
3000, 96.283
4000, 237.683
10, 0.00143595
100, 0.00975946
200, 0.058976
400, 0.219194
600, 0.592561
800, 1.4581
1000, 3.11274
2000, 27.5045
3000, 95.9706
4000, 237.739
10, 0.00554986
100, 0.0162778
200, 0.0641217
400, 0.225788
600, 0.618407
800, 1.42516
1000, 3.10946
2000, 27.5308
3000, 95.7079
4000, 237.919
