size, time
10, 1.2791e-05
100, 0.00955466
200, 0.0768429
400, 0.681457
600, 2.36519
800, 5.82575
1000, 12.2113
2000, 127.651
4000, 1119.27
10, 1.2869e-05
100, 0.0156854
200, 0.0768498
400, 0.676257
600, 2.38051
800, 5.78112
1000, 12.0147
2000, 126.592
4000, 1101.84
10, 1.2928e-05
100, 0.00953828
200, 0.0765433
400, 0.674256
600, 2.36855
800, 5.74672
1000, 11.8963
2000, 126.003
4000, 1104.27
10, 1.3085e-05
100, 0.00953624
200, 0.0761595
400, 0.677655
600, 2.35297
800, 5.70425
1000, 11.5528
2000, 126.593
4000, 1097.72
10, 1.2909e-05
100, 0.00951315
200, 0.0764505
400, 0.679367
600, 2.32853
800, 5.74334
1000, 11.5461
2000, 126.057
4000, 1105.98
10, 1.2692e-05
100, 0.00962078
200, 0.0768467
400, 0.675266
600, 2.32425
800, 5.67796
1000, 11.6235
2000, 127.212
4000, 1097.72
10, 1.2739e-05
100, 0.0095598
200, 0.076393
400, 0.671322
600, 2.32329
800, 5.65213
1000, 11.574
2000, 126.187
4000, 1102.58
10, 1.6156e-05
100, 0.009898
200, 0.0763114
400, 0.673153
600, 2.34764
800, 5.62208
1000, 11.5719
2000, 127.029
4000, 1105.97
10, 1.3e-05
100, 0.00952686
200, 0.0765767
400, 0.672888
600, 2.32471
800, 5.63666
1000, 11.5941
2000, 126.707
4000, 1097.1
10, 1.2759e-05
100, 0.00954503
200, 0.0765245
400, 0.67858
600, 2.33843
800, 5.7321
1000, 11.8714
2000, 126.988
4000, 1097.66
